#,Player,Age,Market value,Name,Position
23,João Félix Second Striker,21.0,100000000,João Félix,SS
11,Bruno Fernandes Attacking Midfield,26.0,90000000,Bruno Fernandes,AM
10,Bernardo Silva Attacking Midfield,26.0,70000000,Bernardo Silva,AM
7,Cristiano Ronaldo Centre-Forward,35.0,60000000,Cristiano Ronaldo,CF
4,Rúben Dias Centre-Back,23.0,60000000,Rúben Dias,CB
18,Rúben Neves Defensive Midfield,23.0,50000000,Rúben Neves,DM
17,Diogo Jota Centre-Forward,24.0,40000000,Diogo Jota,CF
20,João Cancelo Right-Back,26.0,36000000,João Cancelo,RB
2,Nélson Semedo Right-Back,27.0,35000000,Nélson Semedo,RB
5,Raphaël Guerreiro Left-Back,27.0,35000000,Raphaël Guerreiro,LB
7,Trincão Right Winger,21.0,30000000,Trincão,RW
9,André Silva Centre-Forward,25.0,28000000,André Silva,CF
