#,Player,Age,Market value,Name,Position
15,Rafael Leão Left Winger,24.0,90000000,Rafael Leão,LW
4,Rúben Dias Centre-Back,26.0,80000000,Rúben Dias,CB
10,Bernardo Silva Attacking Midfield,28.0,80000000,Bernardo Silva,AM
11,Bruno Fernandes Attacking Midfield,28.0,75000000,Bruno Fernandes,AM
2,Nuno Mendes Left-Back,21.0,65000000,Nuno Mendes,LB
19,Diogo Jota Centre-Forward,26.0,50000000,Diogo Jota,CF
9,Gonçalo Ramos Centre-Forward,22.0,50000000,Gonçalo Ramos,CF
23,João Félix Second Striker,23.0,50000000,João Félix,SS
20,João Cancelo Right-Back,29.0,50000000,João Cancelo,RB
22,Diogo Costa Goalkeeper,23.0,45000000,Diogo Costa,GK
24,António Silva Centre-Back,19.0,45000000,António Silva,CB
18,Matheus Nunes Central Midfield,24.0,45000000,Matheus Nunes,CM
