#,Player,Age,Market value,Name,Position
7,Cristiano Ronaldo Centre-Forward,28.0,100000000,Cristiano Ronaldo,CF
8,João Moutinho Central Midfield,26.0,30000000,João Moutinho,CM
17,Nani Left Winger,26.0,27000000,Nani,LW
12,Rui Patrício Goalkeeper,25.0,20000000,Rui Patrício,GK
3,Pepe Centre-Back,30.0,20000000,Pepe,CB
5,Fábio Coentrão Left-Back,25.0,18000000,Fábio Coentrão,LB
10,Manuel Fernandes Attacking Midfield,27.0,14000000,Manuel Fernandes,AM
16,Raúl Meireles Central Midfield,30.0,12000000,Raúl Meireles,CM
4,Miguel Veloso Defensive Midfield,27.0,10000000,Miguel Veloso,DM
20,Hugo Viana Central Midfield,30.0,8500000,Hugo Viana,CM
18,Varela Left Winger,28.0,8000000,Varela,LW
20,Éder Centre-Forward,25.0,8000000,Éder,CF
