#,Player,Age,Market value,Name,Position
11,Bernardo Silva Attacking Midfield,24.0,100000000,Bernardo Silva,AM
7,Cristiano Ronaldo Centre-Forward,34.0,90000000,Cristiano Ronaldo,CF
25,Bruno Fernandes Attacking Midfield,24.0,55000000,Bruno Fernandes,AM
24,João Cancelo Right-Back,25.0,55000000,João Cancelo,RB
13,Rúben Neves Defensive Midfield,22.0,45000000,Rúben Neves,DM
17,Gonçalo Guedes Left Winger,22.0,40000000,Gonçalo Guedes,LW
13,Rúben Dias Centre-Back,22.0,32000000,Rúben Dias,CB
13,Danilo Pereira Defensive Midfield,27.0,30000000,Danilo Pereira,DM
15,André Gomes Central Midfield,25.0,28000000,André Gomes,CM
17,Rafa Second Striker,26.0,28000000,Rafa,SS
18,Gelson Martins Right Winger,24.0,28000000,Gelson Martins,RW
15,Ricardo Pereira Right-Back,25.0,25000000,Ricardo Pereira,RB
