#,Player,Age,Market value,Name,Position
7,Cristiano Ronaldo Centre-Forward,30.0,110000000,Cristiano Ronaldo,CF
14,William Carvalho Defensive Midfield,23.0,26000000,William Carvalho,DM
15,André Gomes Central Midfield,22.0,20000000,André Gomes,CM
8,João Moutinho Central Midfield,29.0,20000000,João Moutinho,CM
1,Rui Patrício Goalkeeper,27.0,15000000,Rui Patrício,GK
8,Bernardo Silva Attacking Midfield,21.0,15000000,Bernardo Silva,AM
17,Nani Left Winger,29.0,15000000,Nani,LW
23,Adrien Silva Central Midfield,26.0,12500000,Adrien Silva,CM
16,João Cancelo Right-Back,21.0,10000000,João Cancelo,RB
12,Anthony Lopes Goalkeeper,25.0,10000000,Anthony Lopes,GK
3,Pepe Centre-Back,32.0,10000000,Pepe,CB
21,Cédric Soares Right-Back,24.0,9500000,Cédric Soares,RB
