#,Player,Age,Market value,Name,Position,search_results
7,Cristiano Ronaldo Centre-Forward,30.0,110000000,Cristiano Ronaldo,CF,17566631
14,William Carvalho Defensive Midfield,23.0,26000000,William Carvalho,DM,5509071
15,André Gomes Central Midfield,22.0,20000000,André Gomes,CM,9398526
8,João Moutinho Central Midfield,29.0,20000000,João Moutinho,CM,1847044
1,Rui Patrício Goalkeeper,27.0,15000000,Rui Patrício,GK,2743007
8,Bernardo Silva Attacking Midfield,21.0,15000000,Bernardo Silva,AM,7331806
17,Nani Left Winger,29.0,15000000,Nani,LW,2490777
23,Adrien Silva Central Midfield,26.0,12500000,Adrien Silva,CM,1003369
16,João Cancelo Right-Back,21.0,10000000,João Cancelo,RB,239720
12,Anthony Lopes Goalkeeper,25.0,10000000,Anthony Lopes,GK,868238
3,Pepe Centre-Back,32.0,10000000,Pepe,CB,3973780
21,Cédric Soares Right-Back,24.0,9500000,Cédric Soares,RB,233499
