#,Player,Age,Market value,Name,Position
7,Cristiano Ronaldo Centre-Forward,31.0,110000000,Cristiano Ronaldo,CF
10,João Mário Central Midfield,23.0,35000000,João Mário,CM
16,Renato Sanches Central Midfield,19.0,30000000,Renato Sanches,CM
15,André Gomes Central Midfield,23.0,30000000,André Gomes,CM
14,William Carvalho Defensive Midfield,24.0,30000000,William Carvalho,DM
23,Adrien Silva Central Midfield,27.0,25000000,Adrien Silva,CM
11,Bernardo Silva Attacking Midfield,22.0,20000000,Bernardo Silva,AM
24,João Cancelo Right-Back,22.0,20000000,João Cancelo,RB
5,Raphaël Guerreiro Left-Back,23.0,18000000,Raphaël Guerreiro,LB
1,Rui Patrício Goalkeeper,28.0,16000000,Rui Patrício,GK
17,Nani Left Winger,30.0,15000000,Nani,LW
8,João Moutinho Central Midfield,30.0,15000000,João Moutinho,CM
