#,Player,Age,Market value,Name,Position,search_results
7,Cristiano Ronaldo Centre-Forward,30.0,120000000,Cristiano Ronaldo,CF,8631215
6,William Carvalho Defensive Midfield,23.0,22000000,William Carvalho,DM,2809567
8,João Moutinho Central Midfield,28.0,20000000,João Moutinho,CM,1431291
5,Fábio Coentrão Left-Back,27.0,18000000,Fábio Coentrão,LB,503646
12,Rui Patrício Goalkeeper,27.0,18000000,Rui Patrício,GK,1485432
17,Nani Left Winger,28.0,16000000,Nani,LW,2167257
15,André Gomes Central Midfield,21.0,15000000,André Gomes,CM,3055949
3,Pepe Centre-Back,32.0,15000000,Pepe,CB,2317318
20,Adrien Silva Central Midfield,26.0,10000000,Adrien Silva,CM,395403
1,Anthony Lopes Goalkeeper,24.0,10000000,Anthony Lopes,GK,1128336
21,Cédric Soares Right-Back,23.0,8500000,Cédric Soares,RB,100625
20,Josué Attacking Midfield,24.0,8250000,Josué,AM,291261
