#,Player,Age,Market value,Name,Position
11,Bruno Fernandes Attacking Midfield,26.0,90000000,Bruno Fernandes,AM
23,João Félix Second Striker,21.0,80000000,João Félix,SS
4,Rúben Dias Centre-Back,24.0,75000000,Rúben Dias,CB
10,Bernardo Silva Attacking Midfield,26.0,70000000,Bernardo Silva,AM
20,João Cancelo Right-Back,27.0,55000000,João Cancelo,RB
18,Rúben Neves Defensive Midfield,24.0,45000000,Rúben Neves,DM
15,Diogo Jota Centre-Forward,24.0,45000000,Diogo Jota,CF
9,André Silva Centre-Forward,25.0,45000000,André Silva,CF
7,Cristiano Ronaldo Centre-Forward,36.0,45000000,Cristiano Ronaldo,CF
5,Raphaël Guerreiro Left-Back,27.0,40000000,Raphaël Guerreiro,LB
18,Pedro Neto Right Winger,21.0,35000000,Pedro Neto,RW
16,Renato Sanches Central Midfield,23.0,30000000,Renato Sanches,CM
